SimulationTraderName,PMTraderName,SimulationStrategyName
DLi_SQhc@10.101.7.2@40802,DLi_SQhc@192.168.1.55@11502,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLi_SQrb@10.101.7.2@40803,DLi_SQrb@192.168.1.55@11503,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLi_ZZTC@10.101.7.2@40804,DLi_ZZTC@192.168.1.55@11504,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLjm_SQrb@10.101.7.2@40805,DLjm_SQrb@192.168.1.55@11505,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLj_DLjm@10.101.7.2@40806,DLj_DLjm@192.168.1.55@11506,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLj_SQhc@10.101.7.2@40807,DLj_SQhc@192.168.1.55@11507,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLj_SQrb@10.101.7.2@40808,DLj_SQrb@192.168.1.55@11508,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
DLj_ZZTC@10.101.7.2@40809,DLj_ZZTC@192.168.1.55@11509,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3N
ZZMA_SQbu@10.101.7.2@40901,ZZMA_SQbu@192.168.1.55@11601,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3N
SQal_SQni@10.101.7.2@41001,SQal_SQni@192.168.1.55@11701,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQal_SQsn@10.101.7.2@41002,SQal_SQsn@192.168.1.55@11702,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQal_SQzn@10.101.7.2@41003,SQal_SQzn@192.168.1.55@11703,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQau2_SQag@10.101.7.2@41004,SQau2_SQag@192.168.1.55@11704,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQcu_SQni@10.101.7.2@41005,SQcu_SQni@192.168.1.55@11705,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQzn_SQni@10.101.7.2@41006,SQzn_SQni@192.168.1.55@11706,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
SQzn_SQsn@10.101.7.2@41007,SQzn_SQsn@192.168.1.55@11707,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComM3N
DLa@10.101.7.2@40201,DLa@192.168.1.55@10201,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3N
DLa@10.101.7.2@40202,DLa@192.168.1.55@10202,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3N
DLa@10.101.7.2@40203,DLa@192.168.1.55@10203,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3N
DLcs@10.101.7.2@40204,DLcs@192.168.1.55@10204,Cn.All.60.PairX(CalArb)@CnCom.Id807035.CalArb3N
