0_name_trader,allocation_0,allocation_scaler_0,allocation_scaler_1,allocation_scaler_2,name_0_strategy,name_1_super,name_2_super,MixMultiplier_on_strategy,MixPercentage_on_strategy,MixMultiplier_AIO,Strategy_Scaler
DLj_ZZSM@192.168.1.61@35215,0.0417904170340457,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.14661305885825604,0.1000000000000002,0.014661305885825633,2.8029277175978624
DLj_ZZTC@192.168.1.61@35216,0.0401954857830662,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1410175715199931,0.1000000000000002,0.01410175715199934,2.8029277175978624
SQhc_ZZSF@192.168.1.61@35217,0.0471304770433477,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.16534755800940312,0.1000000000000002,0.016534755800940347,2.8029277175978624
SQhc_ZZSM@192.168.1.61@35218,0.0501764443182612,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1760337059603412,0.1000000000000002,0.017603370596034156,2.8029277175978624
SQhc_ZZTC@192.168.1.61@35219,0.0486402935506597,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.17064443782449004,0.1000000000000002,0.017064443782449038,2.8029277175978624
SQrb_ZZSF@192.168.1.61@35220,0.0465854857155025,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1634355683405393,0.1000000000000002,0.016343556834053963,2.8029277175978624
SQrb_ZZSM@192.168.1.61@35221,0.0509815776780101,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.1788583502936448,0.1000000000000002,0.017885835029364517,2.8029277175978624
ZZTC_ZZSF@192.168.1.61@35222,0.0561220882061717,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.19689277124744498,0.1000000000000002,0.019689277124744536,2.8029277175978624
ZZTC_ZZSM@192.168.1.61@35223,0.0530969970502418,1.25165330779083,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComB3,Day,Allocation ss8,0.18627986285424522,0.1000000000000002,0.018627986285424558,2.8029277175978624
DLl_SQbu@192.168.1.61@35301,0.0560913872544546,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.18994078071558812,0.1000000000000002,0.01899407807155885,2.8029277175978624
DLl_SQru@192.168.1.61@35302,0.0688577229395015,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2331710855018636,0.1000000000000002,0.023317108550186406,2.8029277175978624
DLl_ZZMA@192.168.1.61@35303,0.0789500443243369,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.267346446406599,0.1000000000000002,0.026734644640659954,2.8029277175978624
DLl_ZZTA@192.168.1.61@35304,0.0660577601677674,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2236896456432778,0.1000000000000002,0.022368964564327826,2.8029277175978624
DLpp_SQbu@192.168.1.61@35305,0.0594230399641084,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2012226681446531,0.1000000000000002,0.02012226681446535,2.8029277175978624
DLpp_SQru@192.168.1.61@35306,0.064076196329748,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2169795284425075,0.1000000000000002,0.021697952844250794,2.8029277175978624
DLpp_ZZMA@192.168.1.61@35307,0.0750759264506927,1.20812018194771,2.18632032134307,1.28202976033997,Cn.All.60B.PairX(MFA)@Cn.Id807035.ComC3,Day,Allocation ss8,0.2542276235440792,0.1000000000000002,0.02542276235440797,2.8029277175978624
